avgdelay,category,year
9.45,Avg,1987
6.55,Avg,1988
8.41,Avg,1989
6.81,Avg,1990
4.74,Avg,1991
4.88,Avg,1992
5.34,Avg,1993
5.66,Avg,1994
7.02,Avg,1995
9.67,Avg,1996
7.49,Avg,1997
7.59,Avg,1998
8.25,Avg,1999
10.47,Avg,2000
5.53,Avg,2001
3.19,Avg,2002
3.6,Avg,2003
6.51,Avg,2004
7.18,Avg,2005
8.68,Avg,2006
10.19,Avg,2007
8.17,Avg,2008
6.0,Oct,1987
8.47,Nov,1987
13.99,Dec,1987
12.06,Jan,1988
9.39,Feb,1988
7.09,Mar,1988
5.17,Apr,1988
5.92,May,1988
3.95,Jun,1988
6.07,Jul,1988
5.12,Aug,1988
3.3,Sep,1988
4.74,Oct,1988
7.86,Nov,1988
8.24,Dec,1988
7.72,Jan,1989
9.31,Feb,1989
10.67,Mar,1989
4.45,Apr,1989
6.85,May,1989
12.01,Jun,1989
8.84,Jul,1989
9.73,Aug,1989
6.42,Sep,1989
6.65,Oct,1989
7.14,Nov,1989
11.2,Dec,1989
7.28,Jan,1990
10.53,Feb,1990
8.25,Mar,1990
5.03,Apr,1990
5.92,May,1990
6.85,Jun,1990
6.31,Jul,1990
7.73,Aug,1990
3.77,Sep,1990
4.86,Oct,1990
3.11,Nov,1990
12.55,Dec,1990
9.25,Jan,1991
4.32,Feb,1991
5.23,Mar,1991
4.25,Apr,1991
4.52,May,1991
3.53,Jun,1991
4.44,Jul,1991
4.62,Aug,1991
1.89,Sep,1991
4.67,Oct,1991
4.41,Nov,1991
5.69,Dec,1991
4.55,Jan,1992
3.79,Feb,1992
5.21,Mar,1992
2.15,Apr,1992
2.29,May,1992
6.38,Jun,1992
7.83,Jul,1992
6.79,Aug,1992
4.05,Sep,1992
2.47,Oct,1992
4.05,Nov,1992
8.74,Dec,1992
6.54,Jan,1993
7.48,Feb,1993
9.43,Mar,1993
5.28,Apr,1993
2.61,May,1993
5.31,Jun,1993
2.94,Jul,1993
4.31,Aug,1993
3.85,Sep,1993
4.77,Oct,1993
5.54,Nov,1993
6.52,Dec,1993
10.7,Jan,1994
9.21,Feb,1994
4.51,Mar,1994
5.31,Apr,1994
2.35,May,1994
6.61,Jun,1994
7.88,Jul,1994
5.21,Aug,1994
2.03,Sep,1994
3.49,Oct,1994
5.58,Nov,1994
5.98,Dec,1994
8.92,Jan,1995
6.12,Feb,1995
6.2,Mar,1995
5.72,Apr,1995
5.92,May,1995
8.93,Jun,1995
6.73,Jul,1995
6.75,Aug,1995
2.79,Sep,1995
5.01,Oct,1995
7.29,Nov,1995
13.92,Dec,1995
15.67,Jan,1996
10.24,Feb,1996
8.55,Mar,1996
6.63,Apr,1996
7.56,May,1996
10.4,Jun,1996
10.19,Jul,1996
10.13,Aug,1996
6.97,Sep,1996
8.13,Oct,1996
7.08,Nov,1996
14.66,Dec,1996
12.29,Jan,1997
9.01,Feb,1997
7.31,Mar,1997
6.95,Apr,1997
4.88,May,1997
9.19,Jun,1997
8.34,Jul,1997
7.54,Aug,1997
3.21,Sep,1997
5.11,Oct,1997
6.83,Nov,1997
9.38,Dec,1997
8.48,Jan,1998
8.02,Feb,1998
8.56,Mar,1998
6.76,Apr,1998
8.37,May,1998
13.87,Jun,1998
7.47,Jul,1998
8.16,Aug,1998
3.35,Sep,1998
5.01,Oct,1998
3.22,Nov,1998
9.54,Dec,1998
13.22,Jan,1999
5.02,Feb,1999
6.69,Mar,1999
8.83,Apr,1999
9.0,May,1999
13.69,Jun,1999
13.25,Jul,1999
8.77,Aug,1999
5.18,Sep,1999
5.47,Oct,1999
4.01,Nov,1999
5.82,Dec,1999
7.51,Jan,2000
8.58,Feb,2000
7.77,Mar,2000
8.9,Apr,2000
10.15,May,2000
16.4,Jun,2000
13.42,Jul,2000
12.9,Aug,2000
6.69,Sep,2000
7.93,Oct,2000
9.47,Nov,2000
15.88,Dec,2000
6.34,Jan,2001
8.96,Feb,2001
7.44,Mar,2001
5.26,Apr,2001
3.26,May,2001
9.04,Jun,2001
6.64,Jul,2001
8.45,Aug,2001
2.29,Sep,2001
0.97,Oct,2001
1.41,Nov,2001
4.11,Dec,2001
3.37,Jan,2002
1.18,Feb,2002
5.49,Mar,2002
3.18,Apr,2002
2.81,May,2002
6.43,Jun,2002
5.17,Jul,2002
3.06,Aug,2002
-1.4,Sep,2002
1.51,Oct,2002
0.74,Nov,2002
6.32,Dec,2002
2.18,Jan,2003
6.01,Feb,2003
2.5,Mar,2003
-0.39,Apr,2003
1.61,May,2003
3.9,Jun,2003
6.51,Jul,2003
6.82,Aug,2003
0.91,Sep,2003
0.73,Oct,2003
4.72,Nov,2003
7.64,Dec,2003
7.88,Jan,2004
5.95,Feb,2004
3.85,Mar,2004
2.73,Apr,2004
7.83,May,2004
11.35,Jun,2004
9.31,Jul,2004
7.13,Aug,2004
1.04,Sep,2004
4.05,Oct,2004
5.88,Nov,2004
10.89,Dec,2004
10.04,Jan,2005
6.18,Feb,2005
7.62,Mar,2005
2.59,Apr,2005
3.04,May,2005
9.81,Jun,2005
13.85,Jul,2005
8.99,Aug,2005
2.65,Sep,2005
4.59,Oct,2005
5.19,Nov,2005
11.2,Dec,2005
5.63,Jan,2006
7.36,Feb,2006
7.93,Mar,2006
6.42,Apr,2006
6.89,May,2006
12.05,Jun,2006
11.31,Jul,2006
8.69,Aug,2006
8.39,Sep,2006
10.69,Oct,2006
7.26,Nov,2006
11.18,Dec,2006
9.16,Jan,2007
13.52,Feb,2007
10.08,Mar,2007
8.52,Apr,2007
7.04,May,2007
16.18,Jun,2007
14.11,Jul,2007
